"","threshold","prevalence","ntaxa","fraction","false_negatives","false_positives","pos_to_neg_ratio"
"67",30,0.7,40,0.477637429605755,19.3386536030341,0.942240834386852,0.0487231869254341
"68",30,0.8,14,0.339829430564768,21.4779551201011,0.239017067003793,0.0111284833992458
"69",30,0.9,4,0.192666981934657,22.5406921618205,0.112594816687737,0.00499518008938743
"70",30,1,0,0,22.9278603034134,0,0
"71",35,0.1,596,0.976681278732965,2.09584386852086,27.6193109987358,13.1781338360038
"72",35,0.2,356,0.936863596813114,6.29938369152971,14.6195480404551,2.32079021636877
"73",35,0.3,203,0.884157470649105,10.8446586599241,7.00655815423515,0.64608378870674
"74",35,0.4,134,0.818961373322814,13.6061946902655,4.0929203539823,0.300813008130081
"75",35,0.5,88,0.652675427683682,16.0635271807838,2.28745259165613,0.142400393507132
"76",35,0.6,56,0.56319030892832,18.0724557522124,1.30965549936789,0.0724669362771888
"77",35,0.7,39,0.477378578830258,19.3623577749684,0.839522756005057,0.0433584982656601
"78",35,0.8,14,0.339829430564768,21.4779551201011,0.239017067003793,0.0111284833992458
"79",35,0.9,4,0.192666981934657,22.5406921618205,0.112594816687737,0.00499518008938743
"80",35,1,0,0,22.9278603034134,0,0
"81",40,0.1,589,0.976397275078032,2.20251264222503,27.0148546144121,12.2654708520179
"82",40,0.2,350,0.935756855264317,6.40605246523388,14.1592920353982,2.21029910576627
"83",40,0.3,196,0.882668937728758,11.0461441213654,6.46333754740834,0.585121602288984
"84",40,0.4,132,0.81857928355055,13.6832332490518,3.94674462705436,0.288436552620182
"85",40,0.5,86,0.652468306889347,16.1188369152971,2.13535082174463,0.132475490196078
"86",40,0.6,55,0.549598019585837,18.1494943109987,1.30965549936789,0.0721593382673052
"87",40,0.7,38,0.47717377786826,19.3860619469027,0.736804677623262,0.0380069288771143
"88",40,0.8,13,0.323256890396849,21.5865992414665,0.235066371681416,0.010889458272328
"89",40,0.9,4,0.192666981934657,22.5406921618205,0.112594816687737,0.00499518008938743
"90",40,1,0,0,22.9278603034134,0,0
"91",45,0.1,584,0.976205214225405,2.27164981036662,26.5328697850822,11.68
"92",45,0.2,346,0.935500139394237,6.60161188369153,13.9084228824273,2.10682226211849
"93",45,0.3,195,0.882490132173956,11.0935524652339,6.43568268015171,0.580128205128205
"94",45,0.4,131,0.81848671750768,13.7029867256637,3.84600189633375,0.280668877036183
"95",45,0.5,85,0.652269214569663,16.1859987357775,2.11362199747155,0.13058335367342
"96",45,0.6,55,0.549598019585837,18.1494943109987,1.30965549936789,0.0721593382673052
"97",45,0.7,38,0.47717377786826,19.3860619469027,0.736804677623262,0.0380069288771143
"98",45,0.8,13,0.323256890396849,21.5865992414665,0.235066371681416,0.010889458272328
"99",45,0.9,4,0.192666981934657,22.5406921618205,0.112594816687737,0.00499518008938743
"100",45,1,0,0,22.9278603034134,0,0
"101",50,0.1,581,0.976116639856486,2.33091024020228,26.3570638432364,11.3076271186441
"102",50,0.2,337,0.93492788099802,6.8109987357775,13.2328539823009,1.94286542923434
"103",50,0.3,194,0.882156422861803,11.1310840707965,6.35469342604298,0.570896184560781
"104",50,0.4,131,0.81848671750768,13.7029867256637,3.84600189633375,0.280668877036183
"105",50,0.5,85,0.652269214569663,16.1859987357775,2.11362199747155,0.13058335367342
"106",50,0.6,55,0.549598019585837,18.1494943109987,1.30965549936789,0.0721593382673052
"107",50,0.7,37,0.476027887867081,19.4710018963338,0.701248419721871,0.0360150147103581
"108",50,0.8,13,0.323256890396849,21.5865992414665,0.235066371681416,0.010889458272328
"109",50,0.9,4,0.192666981934657,22.5406921618205,0.112594816687737,0.00499518008938743
"110",50,1,0,0,22.9278603034134,0,0
"111",55,0.1,577,0.975967157800389,2.3783185840708,26.0686630847029,10.9609634551495
"112",55,0.2,335,0.934775255232468,6.86235777496839,13.0728508217446,1.90500863557858
"113",55,0.3,193,0.882079720167824,11.1745417193426,6.3349399494311,0.566908255258971
"114",55,0.4,127,0.814848497531503,13.853113147914,3.56945322376738,0.257664337658634
"115",55,0.5,84,0.652104350358333,16.1998261694058,2.00102718078382,0.123521521765638
"116",55,0.6,54,0.549393218623839,18.173198482933,1.20693742098609,0.0664130434782609
"117",55,0.7,37,0.476027887867081,19.4710018963338,0.701248419721871,0.0360150147103581
"118",55,0.8,13,0.323256890396849,21.5865992414665,0.235066371681416,0.010889458272328
"119",55,0.9,4,0.192666981934657,22.5406921618205,0.112594816687737,0.00499518008938743
"120",55,1,0,0,22.9278603034134,0,0
"121",60,0.1,574,0.975855555671371,2.42572692793932,25.8059418457649,10.6384364820847
"122",60,0.2,334,0.934679026127167,6.88803729456384,13.0708754740834,1.8976197304273
"123",60,0.3,192,0.88145047057769,11.2081226295828,6.25395069532238,0.557983785689108
"124",60,0.4,126,0.813388377226581,13.9024968394437,3.50229140328698,0.251918158567775
"125",60,0.5,84,0.652104350358333,16.1998261694058,2.00102718078382,0.123521521765638
"126",60,0.6,54,0.549393218623839,18.173198482933,1.20693742098609,0.0664130434782609
"127",60,0.7,35,0.474174999221353,19.5895227560051,0.628160556257901,0.0320661490370072
"128",60,0.8,13,0.323256890396849,21.5865992414665,0.235066371681416,0.010889458272328
"129",60,0.9,4,0.192666981934657,22.5406921618205,0.112594816687737,0.00499518008938743
"130",60,1,0,0,22.9278603034134,0,0
"131",65,0.1,572,0.975776743907065,2.50276548672566,25.6795195954488,10.2604577742699
"132",65,0.2,331,0.934529106775439,6.97890328697851,12.8990202275601,1.84828757429946
"133",65,0.3,191,0.881241899962892,11.2496049304678,6.25197534766119,0.555750658472344
"134",65,0.4,124,0.812931779769526,13.957806573957,3.32253476611884,0.238041324653269
"135",65,0.5,83,0.645959184868289,16.2630372945638,1.95559418457649,0.120247783311065
"136",65,0.6,53,0.549134367848342,18.1969026548673,1.1042193426043,0.0606817194963092
"137",65,0.7,34,0.473908267485098,19.6171776232617,0.543220606826802,0.0276910683717652
"138",65,0.8,12,0.304489007055787,21.6577117572693,0.18173198482933,0.00839109813936519
"139",65,0.9,4,0.192666981934657,22.5406921618205,0.112594816687737,0.00499518008938743
"140",65,1,0,0,22.9278603034134,0,0
"141",70,0.1,571,0.975749116312679,2.61140960809102,25.6795195954488,9.83358547655068
"142",70,0.2,327,0.934188347703136,7.06186788874842,12.5671618204804,1.77958041958042
"143",70,0.3,187,0.88084714110162,11.3424462705436,5.9102402022756,0.521072796934866
