,glycan,mean_Chickpea,mean_Green_banana,mean_Lentil,mean_MDCF_2,mean_Milk_powder,mean_Peanut,mean_Rice,mean_RUSF,mean_Soybean,SD_Chickpea,SD_Green_banana,SD_Lentil,SD_MDCF_2,SD_Milk_powder,SD_Peanut,SD_Rice,SD_RUSF,SD_Soybean,log2MDCF2_RUSF,p,p.adj,p.format,p.signif,method,order,
22,"3,4,6-Galactose",3941.579444,3455.757691,3012.810784,3075.789331,1662.017039,2604.400021,911.8408446,2262.604839,7094.790082,198.6431637,2460.36286,3520.434822,542.2397768,1134.723406,401.0822394,750.3281562,1114.568291,3316.772707,0.442972051,0.254504322,0.46,0.2545,ns,T-test,33,
23,"3,4,6-Glucose",40621.26143,23003.85394,42862.83554,21117.9976,7001.821696,18987.87772,44464.22274,39114.7674,34354.96253,22106.37822,31562.75722,35152.16515,6677.318914,9132.357173,10517.26262,63508.81482,25467.31031,56972.26579,-0.889240341,0.254741446,0.46,0.2547,ns,T-test,34,
24,"3,4,6-Mannose",1791.6259,416.9935892,715.8462203,2106.090848,921.2695931,420.8366164,333.8825902,1471.439843,1680.09505,408.6200913,285.5832373,1080.429486,296.0072953,1069.607796,572.3221351,367.7672195,1200.654211,969.931947,0.517339108,0.372755219,0.55,0.3728,ns,T-test,35,
39,T-Fructose,28537.5607,13082.14171,25497.18159,79103.81939,213976.587,20409.53902,12351.17889,157979.3928,48362.24071,10122.83116,14343.18818,10463.97478,34847.14122,116407.8119,11771.06667,6505.076819,156824.798,15289.21083,-0.997917122,0.39259777,0.55,0.3926,ns,T-test,36,
14,"2,X,X-Hexose(I)",2430.688524,1422.1479,1966.043408,2040.173021,552.9250109,1341.426338,1316.135909,1484.399862,3889.052798,2290.619678,1264.706693,2527.108291,1176.994923,437.4774541,927.3173934,1304.160578,1419.837357,4599.789917,0.458811736,0.569497469,0.66,0.5695,ns,T-test,37,
37,6-Mannose,392.6322705,364.9795851,581.2756251,278.1198097,349.1319246,413.4924533,164.0320511,205.2126431,471.2633817,198.7431861,289.8806542,235.7387225,135.7094399,331.7534465,220.930039,188.8314764,177.6928296,126.3813773,0.43858689,0.540075994,0.66,0.5401,ns,T-test,38,
20,"3,4-Glucose",150928.7685,85914.94933,145071.8357,85378.54739,33578.50812,101644.3491,101435.7176,139308.2257,23773.89185,59897.45485,96284.87256,94699.19824,53714.56764,25294.60176,49006.75067,80473.809,77793.80046,16508.00404,-0.706334924,0.302548864,0.49,0.3025,ns,T-test,39,
32,"4,6-Glucose",46024.52751,17505.12783,59394.04844,33700.20674,21038.09732,15080.99168,28594.26385,55846.18833,12161.50613,17141.71608,19475.12277,25052.28406,19877.95457,15819.87875,5903.162512,11656.07836,48949.74765,3648.091343,-0.728701374,0.449414606,0.61,0.4494,ns,T-test,40,
8,"2,3,6-Glucose",4804.218086,5545.994409,3304.255706,3388.232809,3273.480121,3733.87011,4764.228208,4152.048011,3936.184896,2253.608922,8968.649812,2477.004596,874.7619984,4612.465475,4769.815996,6595.830407,2014.714521,5036.36376,-0.293290119,0.52421492,0.66,0.5242,ns,T-test,41,
27,4-Glucose,9532571.246,5119966.73,7692462.753,7622820.646,4251681.629,3743047.512,7049378.298,8592442.967,2435818.366,742044.536,2590710.427,1519765.408,1386699.758,1245246.983,1055500.896,1785706.353,2384396.807,765007.8615,-0.172743439,0.514507839,0.66,0.5145,ns,T-test,42,
29,4-P-Xylose,3724.631081,15110.47526,39076.20096,26114.47231,23638.56624,29816.62174,14488.34174,20222.37079,105208.9976,1118.696705,6964.527691,69477.92481,41691.70318,35760.77889,30574.54786,14401.23091,27323.77161,77244.74457,0.368897409,0.822191131,0.89,0.8222,ns,T-test,43,
11,"2,4,6-Galactose",1425.717795,2119.678268,953.7283012,1581.198503,627.1071635,1147.914375,684.2231244,2339.312695,3979.695911,334.0194131,1530.08065,793.0301041,437.4826222,319.9683291,381.2942873,658.0555468,2336.942601,1718.203204,-0.565066225,0.566245099,0.66,0.5662,ns,T-test,44,
48,T-Rhamnose,84992.92768,10354.4862,122188.3788,57438.92025,8078.643619,20918.08236,5195.30407,65989.67175,232619.8397,23627.41695,11447.40548,69641.38593,26053.98797,3243.04501,11599.55489,1948.851439,11026.0682,111548.3328,-0.200211612,0.577820052,0.66,0.5778,ns,T-test,45,
49,X-Hexose,188326.516,15894.62383,206591.1307,85144.10488,218529.3414,41583.84133,11874.67485,81206.06099,139290.5832,43615.75931,15637.08557,135439.7032,54316.80462,52192.73719,3368.74239,10637.79111,28268.64514,48674.85462,0.068319235,0.903184946,0.93,0.9032,ns,T-test,46,
25,"3,6-Galactose",6373.258858,1438.947332,2274.863938,11034.52475,1751.760703,1785.488537,875.3138223,10007.47673,17676.69053,5128.762931,2342.688697,943.7692214,3947.130294,597.5201158,1200.352355,349.3840565,8405.443821,719.5400289,0.140946234,0.835133669,0.89,0.8351,ns,T-test,47,
35,6-Galactose,564527.2862,14288.02491,678472.7008,147335.8334,46526.1549,55117.54623,9647.679766,152411.8929,395519.5231,143578.338,16811.56692,137071.826,63540.58137,24008.77035,23001.83669,3887.549142,88314.98603,40163.88649,-0.048867134,0.928990554,0.93,0.929,ns,T-test,48,
12,"2,4,6-Glucose",1090.505656,2860.60828,1005.278518,650.137222,120.0871264,632.2127193,166.0934776,677.5574726,2744.510525,700.0919356,4902.552198,904.100947,201.6706339,110.8405875,271.4872369,80.90100011,449.9366688,1153.803994,-0.059599071,0.916601851,0.93,0.9166,ns,T-test,49,
